Timestamp,Website,Status,Latency(ms),TTL
2025-08-05 08:05:00,google.com,Success,52,93
2025-08-05 08:05:00,openai.com,Unreachable,,
2025-08-05 08:05:00,facebook.com,Unreachable,,
2025-08-05 08:10:00,google.com,Success,106,106
2025-08-05 08:10:00,openai.com,Unreachable,,
2025-08-05 08:10:00,facebook.com,Success,92,119
2025-08-05 08:15:00,google.com,Success,31,56
2025-08-05 08:15:00,openai.com,Success,173,96
2025-08-05 08:15:00,facebook.com,Success,197,117
2025-08-05 08:20:00,google.com,Unreachable,,
2025-08-05 08:20:00,openai.com,Success,200,112
2025-08-05 08:20:00,facebook.com,Success,135,104
2025-08-05 08:25:00,google.com,Success,40,107
2025-08-05 08:25:00,openai.com,Success,149,56
2025-08-05 08:25:00,facebook.com,Success,74,108
2025-08-05 08:30:00,google.com,Success,96,89
2025-08-05 08:30:00,openai.com,Unreachable,,
2025-08-05 08:30:00,facebook.com,Unreachable,,
2025-08-05 08:35:00,google.com,Success,150,82
2025-08-05 08:35:00,openai.com,Success,116,108
2025-08-05 08:35:00,facebook.com,Success,144,119
2025-08-05 08:40:00,google.com,Success,96,75
2025-08-05 08:40:00,openai.com,Success,149,73
2025-08-05 08:40:00,facebook.com,Success,120,51
2025-08-05 08:45:00,google.com,Unreachable,,
2025-08-05 08:45:00,openai.com,Success,79,83
2025-08-05 08:45:00,facebook.com,Success,120,54
2025-08-05 08:50:00,google.com,Success,77,57
2025-08-05 08:50:00,openai.com,Success,197,69
2025-08-05 08:50:00,facebook.com,Success,101,114
2025-08-05 08:55:00,google.com,Success,123,62
2025-08-05 08:55:00,openai.com,Success,181,79
2025-08-05 08:55:00,facebook.com,Success,145,104
2025-08-05 09:00:00,google.com,Success,195,115
2025-08-05 09:00:00,openai.com,Success,171,118
2025-08-05 09:00:00,facebook.com,Success,112,55
2025-08-05 09:05:00,google.com,Unreachable,,
2025-08-05 09:05:00,openai.com,Success,152,100
2025-08-05 09:05:00,facebook.com,Unreachable,,
2025-08-05 09:10:00,google.com,Unreachable,,
2025-08-05 09:10:00,openai.com,Success,157,57
2025-08-05 09:10:00,facebook.com,Success,21,87
2025-08-05 09:15:00,google.com,Success,140,60
2025-08-05 09:15:00,openai.com,Success,198,62
2025-08-05 09:15:00,facebook.com,Unreachable,,
2025-08-05 09:20:00,google.com,Success,128,60
2025-08-05 09:20:00,openai.com,Success,115,80
2025-08-05 09:20:00,facebook.com,Unreachable,,
2025-08-05 09:25:00,google.com,Unreachable,,
2025-08-05 09:25:00,openai.com,Unreachable,,
2025-08-05 09:25:00,facebook.com,Success,64,90
2025-08-05 09:30:00,google.com,Success,73,100
2025-08-05 09:30:00,openai.com,Unreachable,,
2025-08-05 09:30:00,facebook.com,Success,190,75
2025-08-05 09:35:00,google.com,Success,58,95
2025-08-05 09:35:00,openai.com,Success,64,107
2025-08-05 09:35:00,facebook.com,Success,48,70
2025-08-05 09:40:00,google.com,Success,144,91
2025-08-05 09:40:00,openai.com,Unreachable,,
2025-08-05 09:40:00,facebook.com,Success,42,111
2025-08-05 09:45:00,google.com,Success,67,89
2025-08-05 09:45:00,openai.com,Success,129,67
2025-08-05 09:45:00,facebook.com,Success,45,109
2025-08-05 09:50:00,google.com,Unreachable,,
2025-08-05 09:50:00,openai.com,Success,64,94
2025-08-05 09:50:00,facebook.com,Success,107,101
2025-08-05 09:55:00,google.com,Success,36,82
2025-08-05 09:55:00,openai.com,Success,129,99
2025-08-05 09:55:00,facebook.com,Unreachable,,
2025-08-05 10:00:00,google.com,Success,70,54
2025-08-05 10:00:00,openai.com,Unreachable,,
2025-08-05 10:00:00,facebook.com,Unreachable,,
2025-08-05 10:05:00,google.com,Success,140,109
2025-08-05 10:05:00,openai.com,Success,99,85
2025-08-05 10:05:00,facebook.com,Success,128,107
2025-08-05 10:10:00,google.com,Success,73,78
2025-08-05 10:10:00,openai.com,Success,194,93
2025-08-05 10:10:00,facebook.com,Success,188,50
2025-08-05 10:15:00,google.com,Success,94,94
2025-08-05 10:15:00,openai.com,Unreachable,,
2025-08-05 10:15:00,facebook.com,Success,138,52
2025-08-05 10:20:00,google.com,Success,99,97
2025-08-05 10:20:00,openai.com,Success,49,57
2025-08-05 10:20:00,facebook.com,Success,73,84
2025-08-05 10:25:00,google.com,Success,131,77
2025-08-05 10:25:00,openai.com,Success,174,104
2025-08-05 10:25:00,facebook.com,Success,34,111
